tr_img_06003,1504.1,858.6,1548.0,178.5,"南13条西16司目",0.8945
tr_img_06003,1513.6,1343.4,1278.0,459.5,"1-2イ-1",0.6498
tr_img_06002,1497.0,2255.4,1447.0,359.5,"カン井とんが",0.9320
tr_img_06001,895.9,267.8,355.5,120.5,"北給田",0.9593
tr_img_06001,861.8,348.0,155.5,60.0,"中給",0.9791
tr_img_06001,731.5,347.0,133.0,46.0,"つきは",0.9305
tr_img_06001,959.8,357.0,57.5,46.0,"田",0.7574
tr_img_06001,1090.2,608.2,41.5,58.5,"先",0.8572
tr_img_06006,1147.5,519.0,220.0,126.0,"K雪o",0.5387
tr_img_06010,666.0,292.6,508.0,189.5,"白本橋",0.7835
tr_img_06010,674.4,477.4,519.0,175.0,"人彩町",0.8967
tr_img_06010,667.4,674.5,526.0,157.0,"一河目",0.6947
tr_img_06012,1389.2,518.8,1974.5,266.5,"北10条東11丁目",0.9086
tr_img_06013,1135.8,298.8,168.5,51.5,"ペルシテイ",0.8405
tr_img_06013,1001.8,313.5,122.5,52.0,"サシテイ",0.9008
tr_img_06013,1071.0,345.6,132.0,53.5,"元住吉店",0.9685
tr_img_06013,1081.0,500.4,334.0,150.0,"駐輪場",0.9890
tr_img_06014,2824.9,910.4,1291.5,810.0,"レマメウネ",0.5746
tr_img_06014,1881.5,1716.0,197.0,94.0,"補聴器",0.9934
tr_img_06011,1576.8,1356.2,520.5,65.5,"米山S低温時定格暖)",0.8978
tr_img_06011,1995.5,1362.8,281.0,65.5,"能力ＭSZ",0.6125
tr_img_06011,1056.9,1409.5,634.5,82.0,"2015年11月25日現在。",0.9721
tr_img_06011,748.2,1730.0,596.5,104.0,"寒冷地仕様",0.9876
tr_img_06011,2800.2,1721.8,56.5,35.5,"ねえ",0.8319
tr_img_06011,1369.5,1872.0,416.0,250.0,"の",0.9461
tr_img_06011,1863.1,1997.2,485.0,157.5,"太バ願居ヶ峰",0.5845
tr_img_06011,2783.0,2148.8,327.0,79.5,"テレビCMス",0.6782
tr_img_06015,1690.8,838.1,2254.5,304.5,"吉川内科・宿環器刹クリニック",0.7524
tr_img_06019,286.6,2014.4,141.0,91.0,"タクリン",0.6787
tr_img_06019,1939.4,2375.1,186.5,88.5,"彼り付けo",0.5431
tr_img_06019,382.1,2676.0,330.0,146.0,"15歳から0",0.9444
tr_img_06019,347.9,2885.5,242.0,101.0,"ピクミン換化",0.6502
tr_img_06020,779.8,463.5,671.5,144.0,"半蔵門線",0.9992
tr_img_06020,1672.0,459.2,880.0,141.5,"水天宮背町駅",0.8633
tr_img_06020,1585.9,1096.1,725.0,112.0,"山山園天北",0.5755
tr_img_06026,1022.2,694.8,608.5,68.5,"初診急患随時受付",0.9859
tr_img_06026,1080.4,940.8,589.5,73.5,"本科通リ歯租医院",0.7313
tr_img_06025,2263.6,2177.6,244.0,763.5,"Ot0の",0.6904
tr_img_06025,1600.0,2419.1,125.0,866.0,"お目げいたします",0.6257
tr_img_06023,1501.4,828.4,768.0,152.5,"静岡市役所",0.9977
tr_img_06023,1817.0,1075.8,447.0,106.5,"人天堂人梨",0.6225
tr_img_06023,1319.2,1072.5,403.5,99.0,"静図市役肌",0.8653
tr_img_06023,1432.0,1271.0,635.0,154.0,"葵区役所",0.9985
tr_img_06023,1633.2,1416.0,251.5,79.0,"O刊ice",0.7885
tr_img_06023,1688.2,1509.0,386.5,88.0,"OI堂0子裂",0.6565
tr_img_06023,1279.0,1513.5,322.0,79.0,"葵区役所",0.9302
tr_img_06023,1353.0,1716.8,490.0,157.5,"紺屋町",0.9990
tr_img_06023,194.9,1864.8,75.5,234.5,"川川",0.7401
tr_img_06023,1242.0,1957.8,274.0,103.5,"甘屋町",0.9385
tr_img_06023,1618.8,1953.0,385.5,109.0,"印0止回ト入",0.5244
tr_img_06023,1372.4,2216.0,491.5,175.0,"呉服町",0.8665
tr_img_06023,1253.2,2460.0,280.5,117.0,"呉服町町",0.7269
tr_img_06023,1358.0,2690.1,509.0,198.5,"七間画",0.7142
tr_img_06023,1457.8,2938.9,726.5,115.0,"七面町人梨型益",0.6963
tr_img_06027,1397.2,116.8,74.5,55.5,"中",0.9448
tr_img_06027,1479.0,123.5,122.0,53.0,"原懐",0.5871
tr_img_06027,1459.5,617.5,134.0,903.0,"木3丁目",0.6574
tr_img_06027,1452.8,1368.0,241.5,78.0,"K20水i",0.5639
tr_img_06029,874.8,1466.4,729.5,285.0,"出庫注意",0.8224
