Image,GT_Count,Matched_85+,Fuzzy_Avg,BLEU_Avg
tr_img_06001.txt,23,1,0.32526182541527815,0.007731649608864882
tr_img_06002.txt,6,2,0.5670313536042436,0.07948294954135608
tr_img_06003.txt,2,1,0.5909090909090909,0.5
tr_img_06004.txt,6,0,0.2851966873706004,0.02492247968702035
tr_img_06005.txt,1,0,0.24489795918367346,0.0
tr_img_06007.txt,4,1,0.40340909090909094,0.0
tr_img_06009.txt,4,2,0.5580357142857143,0.04445698525097307
tr_img_06010.txt,4,2,0.5580357142857143,0.04445698525097307
tr_img_06011.txt,12,5,0.6485339182398006,0.11098202689868912
tr_img_06012.txt,2,1,0.564516129032258,0.5
tr_img_06013.txt,11,1,0.3190006121824303,0.028747978728803456
tr_img_06014.txt,26,1,0.3482172405161901,0.009914719662481667
tr_img_06015.txt,3,1,0.6169590643274854,0.4006838501558874
tr_img_06016.txt,4,1,0.46428571428571425,0.0
tr_img_06018.txt,6,2,0.6041212781408859,0.19158914635368704
tr_img_06019.txt,21,3,0.4969268307996445,0.06302475283446068
tr_img_06020.txt,9,2,0.470080577753212,0.08498137782035603
tr_img_06021.txt,6,1,0.5197732968785601,0.07476743906106105
tr_img_06022.txt,1,0,0.5833333333333334,0.11362193664674995
tr_img_06023.txt,23,9,0.6639713579072847,0.16825184358233694
tr_img_06024.txt,3,1,0.5666666666666667,0.105409255338946
tr_img_06025.txt,6,0,0.21675090142832076,0.0
tr_img_06026.txt,9,2,0.552989126148041,0.16262431542375622
tr_img_06027.txt,5,0,0.3593322014714205,0.0
tr_img_06028.txt,4,0,0.4666666666666666,0.07476743906106105
tr_img_06029.txt,3,0,0.3492424242424243,0.0
tr_img_06030.txt,11,5,0.6162617220801364,0.09341268454840064
tr_img_06031.txt,2,1,0.58,0.28117066259517454
tr_img_06032.txt,4,0,0.48598049460118425,0.037383719530530525
tr_img_06033.txt,8,3,0.6191646501310748,0.10581593422420922
tr_img_06035.txt,4,1,0.40680137472590305,0.06843978168836817
tr_img_06036.txt,20,1,0.3794510728945574,0.08819352887085964
tr_img_06037.txt,14,1,0.311030072684208,0.022587697572631286
tr_img_06038.txt,5,0,0.44830075187969926,0.02697022371900737
tr_img_06039.txt,2,1,0.5344827586206896,0.5
tr_img_06040.txt,49,8,0.48992241635655087,0.15860649739004237
tr_img_06041.txt,3,2,0.7333333333333334,0.29285636373572904
tr_img_06042.txt,3,0,0.1710239651416122,0.0
tr_img_06043.txt,8,0,0.16614422084623323,0.0
tr_img_06044.txt,2,1,0.5541958041958042,0.12014057070673771
